マスター,地名,センター,燃えるごみ,紙類・硬質（製品）プラスチック,容器包装プラスチック,発泡スチロール・トレイ・飲料缶,ペットボトル
1,赤司,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,朝日町,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,芦刈中村,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,芦田,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,甘木,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,砂田,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,石木,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,泉,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,一本松,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,今市,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,牛王,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,牛津団地,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,牛津本町,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,牛尾,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,内砥川,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,生立ヶ里,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,永泉寺,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,江口,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,江津,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,江津ヶ里,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,蛭子町,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,江利,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,江里口,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,江里山,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,円光寺,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,大江,小城市廃棄物中継センター,火 金,水1,水2,水3,水4
1,大地町,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,大塚,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
1,大手町,小城市廃棄物中継センター,月 木,水1,水2,水3,水4
