label,name,notice,furigana
燃えるごみ,アイスノン,,あ
燃えるごみ,アイロン台,50センチ以内に解体できなければ粗大ごみ,あ
燃えるごみ,網戸の網,50cm以内に解体してください,あ
燃えるごみ,板,50cm以内に解体してください,あ
燃えるごみ,衣類（肌着、下着類、綿入り衣類）,,あ
燃えるごみ,インクカートリッジ,,あ
燃えるごみ,カーテン,50cm以内に切ってください,か
燃えるごみ,貝殻,,か
燃えるごみ,カイロ（使い捨て）,使用してから出してください,か
燃えるごみ,カセット　ビデオテープ,,か
燃えるごみ,合羽,,か
燃えるごみ,かばん　バッグ,50㎝以上のものは粗大ごみ,か
燃えるごみ,紙おむつ,汚物はトイレに捨ててください,か
燃えるごみ,換気扇フィルター,,か
燃えるごみ,乾燥剤,,か
燃えるごみ,額縁（木製、プラスチック製）,,か
燃えるごみ,キッチンマット,50㎝以内に解体してください,か
燃えるごみ,靴,,か
燃えるごみ,ゲームソフト,,か
燃えるごみ,玄関マット,50cm以内に解体してください,か
燃えるごみ,ゴルフボール,,か
燃えるごみ,座布団,,さ
燃えるごみ,CD　DVD　ブルーレイ,,さ
燃えるごみ,食用油の容器,,さ
燃えるごみ,食器（木製）,,さ
燃えるごみ,浄水器（カートリッジ）,,さ
燃えるごみ,水槽　金魚鉢（プラスチック製）,大きいものは粗大ゴミ,さ
燃えるごみ,すだれ　,50cm以内に解体してください,さ
燃えるごみ,すのこ（木製）,50cm以内に解体してください,さ
燃えるごみ,草木,50cm以内に切ってください,さ
燃えるごみ,剪定木,50cm以内に切ってもえるごみ。又は、直接廃棄物中継センターへ,さ
燃えるごみ,タオルケット,50cm以内に切ってください,た
燃えるごみ,使い捨てカイロ,,た
燃えるごみ,テントの屋根　（家庭用）,50cm以内に切ってください,た
燃えるごみ,デスクマット　（ビニール製）,50cm以内に切ってください,た
燃えるごみ,長靴,,な
燃えるごみ,人形（木製）,,な
燃えるごみ,ぬいぐるみ,大きい物（指定袋に入らないもの）は粗大ごみ,な
燃えるごみ,花火,未使用の場合火薬を水に浸してください,は
燃えるごみ,ハンガー　（木製）,,は
燃えるごみ,肥料袋（家庭用）,,は
燃えるごみ,ブルーシート,50cm以内に切ってください,は
